#    L    TT             EE             TE          
     2    0.49486E-03    0.18225E-07    0.67753E-06
     3    0.76170E-03    0.30560E-07    0.87264E-06
     4    0.10958E-02    0.32792E-07    0.87124E-06
     5    0.14925E-02    0.27789E-07    0.71784E-06
     6    0.19462E-02    0.22326E-07    0.47452E-06
     7    0.24548E-02    0.20791E-07    0.19060E-06
     8    0.30155E-02    0.23092E-07   -0.68322E-07
     9    0.36268E-02    0.26632E-07   -0.27091E-06
    10    0.42880E-02    0.29447E-07   -0.39491E-06
    11    0.49930E-02    0.31853E-07   -0.42593E-06
    12    0.57387E-02    0.35979E-07   -0.37043E-06
    13    0.65240E-02    0.43078E-07   -0.28437E-06
    14    0.73474E-02    0.53593E-07   -0.22890E-06
    15    0.82047E-02    0.66048E-07   -0.23832E-06
    16    0.90920E-02    0.78837E-07   -0.34144E-06
    17    0.10010E-01    0.91764E-07   -0.57191E-06
    18    0.10958E-01    0.10534E-06   -0.96185E-06
    19    0.11936E-01    0.12151E-06   -0.15323E-05
    20    0.12939E-01    0.14230E-06   -0.22964E-05
    21    0.13969E-01    0.16871E-06   -0.32468E-05
    22    0.15025E-01    0.20118E-06   -0.43700E-05
    23    0.16105E-01    0.23902E-06   -0.56500E-05
    24    0.17205E-01    0.28155E-06   -0.70757E-05
    25    0.18324E-01    0.32930E-06   -0.86596E-05
    26    0.19461E-01    0.38303E-06   -0.10417E-04
    27    0.20615E-01    0.44327E-06   -0.12350E-04
    28    0.21789E-01    0.51043E-06   -0.14467E-04
    29    0.22979E-01    0.58490E-06   -0.16817E-04
    30    0.24186E-01    0.66695E-06   -0.19443E-04
    31    0.25409E-01    0.75646E-06   -0.22326E-04
    32    0.26650E-01    0.85344E-06   -0.25445E-04
    33    0.27905E-01    0.95873E-06   -0.28843E-04
    34    0.29172E-01    0.10734E-05   -0.32558E-04
    35    0.30448E-01    0.11985E-05   -0.36557E-04
    36    0.31731E-01    0.13349E-05   -0.40803E-04
    37    0.33025E-01    0.14819E-05   -0.45313E-04
    38    0.34334E-01    0.16391E-05   -0.50114E-04
    39    0.35656E-01    0.18074E-05   -0.55205E-04
    40    0.36988E-01    0.19880E-05   -0.60584E-04
