#    L    TT             EE             BB             TE          
     2    0.36540E-04    0.59102E-08    0.86028E-08    0.40444E-06
     3    0.81263E-04    0.97101E-08    0.19635E-07    0.73324E-06
     4    0.14554E-03    0.11353E-07    0.27355E-07    0.10162E-05
     5    0.23070E-03    0.11208E-07    0.29534E-07    0.12257E-05
     6    0.33783E-03    0.10436E-07    0.27637E-07    0.13643E-05
     7    0.46800E-03    0.10296E-07    0.24982E-07    0.14508E-05
     8    0.62192E-03    0.11793E-07    0.24717E-07    0.15106E-05
     9    0.80034E-03    0.15516E-07    0.28651E-07    0.15670E-05
    10    0.10033E-02    0.21810E-07    0.37136E-07    0.16395E-05
    11    0.12317E-02    0.30792E-07    0.49744E-07    0.17329E-05
    12    0.14876E-02    0.42579E-07    0.65888E-07    0.18728E-05
    13    0.17688E-02    0.57363E-07    0.85500E-07    0.20612E-05
    14    0.20731E-02    0.75354E-07    0.10883E-06    0.22945E-05
    15    0.24036E-02    0.96781E-07    0.13681E-06    0.25818E-05
    16    0.27639E-02    0.12192E-06    0.17053E-06    0.29336E-05
    17    0.31539E-02    0.15123E-06    0.21088E-06    0.33545E-05
    18    0.35726E-02    0.18517E-06    0.25865E-06    0.38478E-05
    19    0.40186E-02    0.22418E-06    0.31441E-06    0.44172E-05
    20    0.44908E-02    0.26866E-06    0.37873E-06    0.50659E-05
    21    0.49896E-02    0.31906E-06    0.45233E-06    0.57937E-05
    22    0.55156E-02    0.37583E-06    0.53602E-06    0.66011E-05
    23    0.60693E-02    0.43943E-06    0.63056E-06    0.74960E-05
    24    0.66509E-02    0.51027E-06    0.73673E-06    0.84865E-05
    25    0.72603E-02    0.58881E-06    0.85533E-06    0.95732E-05
    26    0.78975E-02    0.67551E-06    0.98718E-06    0.10756E-04
    27    0.85620E-02    0.77090E-06    0.11332E-05    0.12037E-04
    28    0.92537E-02    0.87551E-06    0.12944E-05    0.13418E-04
    29    0.99728E-02    0.98985E-06    0.14715E-05    0.14901E-04
    30    0.10719E-01    0.11144E-05    0.16655E-05    0.16486E-04
    31    0.11494E-01    0.12497E-05    0.18774E-05    0.18177E-04
    32    0.12296E-01    0.13962E-05    0.21082E-05    0.19980E-04
    33    0.13126E-01    0.15545E-05    0.23591E-05    0.21898E-04
    34    0.13983E-01    0.17249E-05    0.26311E-05    0.23936E-04
    35    0.14868E-01    0.19080E-05    0.29251E-05    0.26102E-04
