#    L    TT             EE             BB             TE          
     2    0.25902E+03    0.87761E-02    0.13369E-01    0.11703E+00
     3    0.22124E+03    0.11888E-01    0.16173E-01   -0.24682E+00
     4    0.21662E+03    0.13026E-01    0.16454E-01   -0.37125E+00
     5    0.21821E+03    0.12263E-01    0.14895E-01   -0.39520E+00
     6    0.22189E+03    0.10330E-01    0.12391E-01   -0.36954E+00
     7    0.22652E+03    0.80152E-02    0.97302E-02   -0.32475E+00
     8    0.23148E+03    0.59885E-02    0.74256E-02   -0.27823E+00
     9    0.23662E+03    0.45284E-02    0.57145E-02   -0.24065E+00
    10    0.24179E+03    0.37516E-02    0.46420E-02   -0.21045E+00
    11    0.24670E+03    0.35470E-02    0.41361E-02   -0.19157E+00
    12    0.25104E+03    0.37559E-02    0.40823E-02   -0.18261E+00
    13    0.25501E+03    0.42351E-02    0.43579E-02   -0.18220E+00
    14    0.25892E+03    0.48605E-02    0.48495E-02   -0.18936E+00
    15    0.26288E+03    0.55695E-02    0.54837E-02   -0.20261E+00
    16    0.26690E+03    0.63230E-02    0.62040E-02   -0.22064E+00
    17    0.27074E+03    0.71132E-02    0.69808E-02   -0.24305E+00
    18    0.27414E+03    0.79403E-02    0.77946E-02   -0.26955E+00
    19    0.27710E+03    0.88047E-02    0.86394E-02   -0.29910E+00
    20    0.27969E+03    0.97066E-02    0.95127E-02   -0.33078E+00
    21    0.28197E+03    0.10645E-01    0.10413E-01   -0.36489E+00
    22    0.28398E+03    0.11619E-01    0.11339E-01   -0.40190E+00
    23    0.28575E+03    0.12624E-01    0.12288E-01   -0.44152E+00
    24    0.28727E+03    0.13657E-01    0.13260E-01   -0.48338E+00
    25    0.28856E+03    0.14717E-01    0.14250E-01   -0.52731E+00
    26    0.28965E+03    0.15799E-01    0.15258E-01   -0.57310E+00
    27    0.29053E+03    0.16900E-01    0.16283E-01   -0.62031E+00
    28    0.29121E+03    0.18017E-01    0.17325E-01   -0.66858E+00
    29    0.29170E+03    0.19161E-01    0.18384E-01   -0.71835E+00
    30    0.29199E+03    0.20341E-01    0.19460E-01   -0.77006E+00
    31    0.29210E+03    0.21557E-01    0.20550E-01   -0.82340E+00
    32    0.29204E+03    0.22801E-01    0.21656E-01   -0.87793E+00
    33    0.29182E+03    0.24064E-01    0.22775E-01   -0.93339E+00
    34    0.29142E+03    0.25337E-01    0.23906E-01   -0.98962E+00
    35    0.29086E+03    0.26625E-01    0.25045E-01   -0.10465E+01
    36    0.29014E+03    0.27932E-01    0.26191E-01   -0.11039E+01
    37    0.28929E+03    0.29261E-01    0.27344E-01   -0.11617E+01
    38    0.28828E+03    0.30612E-01    0.28506E-01   -0.12196E+01
