#    L    TT             EE             BB             TE          
     2    0.97085E-08    0.12560E-09    0.12554E-09   -0.69047E-11
     3    0.64465E-08    0.83947E-09    0.87096E-09   -0.22914E-10
     4    0.57984E-08    0.64263E-08    0.63212E-08   -0.17283E-09
     5    0.92645E-08    0.12612E-07    0.12605E-07   -0.37685E-09
     6    0.15273E-07    0.18404E-07    0.18420E-07   -0.77957E-09
     7    0.26103E-07    0.25407E-07    0.25428E-07   -0.14272E-08
     8    0.42713E-07    0.35032E-07    0.35091E-07   -0.24343E-08
     9    0.67006E-07    0.46210E-07    0.46233E-07   -0.38619E-08
    10    0.10150E-06    0.57795E-07    0.57765E-07   -0.58455E-08
    11    0.14876E-06    0.71043E-07    0.71016E-07   -0.84872E-08
    12    0.21208E-06    0.86021E-07    0.86015E-07   -0.11899E-07
    13    0.29493E-06    0.10238E-06    0.10239E-06   -0.16249E-07
    14    0.40077E-06    0.11988E-06    0.11989E-06   -0.21699E-07
    15    0.53302E-06    0.13876E-06    0.13877E-06   -0.28336E-07
    16    0.69535E-06    0.15924E-06    0.15926E-06   -0.36257E-07
    17    0.89227E-06    0.18119E-06    0.18121E-06   -0.45694E-07
    18    0.11286E-05    0.20442E-06    0.20445E-06   -0.56869E-07
    19    0.14094E-05    0.22904E-06    0.22907E-06   -0.69819E-07
    20    0.17395E-05    0.25517E-06    0.25520E-06   -0.84594E-07
    21    0.21221E-05    0.28274E-06    0.28277E-06   -0.10148E-06
    22    0.25607E-05    0.31166E-06    0.31168E-06   -0.12075E-06
    23    0.30627E-05    0.34198E-06    0.34199E-06   -0.14241E-06
    24    0.36352E-05    0.37375E-06    0.37374E-06   -0.16646E-06
    25    0.42816E-05    0.40693E-06    0.40691E-06   -0.19312E-06
    26    0.50051E-05    0.44149E-06    0.44146E-06   -0.22264E-06
    27    0.58121E-05    0.47743E-06    0.47739E-06   -0.25494E-06
    28    0.67090E-05    0.51479E-06    0.51474E-06   -0.28998E-06
    29    0.77002E-05    0.55355E-06    0.55349E-06   -0.32807E-06
    30    0.87898E-05    0.59371E-06    0.59362E-06   -0.36951E-06
    31    0.99832E-05    0.63527E-06    0.63514E-06   -0.41417E-06
    32    0.11286E-04    0.67823E-06    0.67805E-06   -0.46190E-06
    33    0.12705E-04    0.72259E-06    0.72235E-06   -0.51284E-06
    34    0.14245E-04    0.76832E-06    0.76803E-06   -0.56714E-06
    35    0.15910E-04    0.81544E-06    0.81509E-06   -0.62476E-06
    36    0.17706E-04    0.86393E-06    0.86352E-06   -0.68566E-06
    37    0.19639E-04    0.91381E-06    0.91332E-06   -0.74993E-06
    38    0.21715E-04    0.96508E-06    0.96449E-06   -0.81763E-06
    39    0.23940E-04    0.10177E-05    0.10170E-05   -0.88871E-06
    40    0.26318E-04    0.10718E-05    0.10709E-05   -0.96309E-06
    41    0.28857E-04    0.11272E-05    0.11262E-05   -0.10407E-05
    42    0.31562E-04    0.11839E-05    0.11828E-05   -0.11215E-05
    43    0.34439E-04    0.12421E-05    0.12408E-05   -0.12056E-05
    44    0.37496E-04    0.13015E-05    0.13002E-05   -0.12930E-05
    45    0.40740E-04    0.13624E-05    0.13608E-05   -0.13836E-05
    46    0.44175E-04    0.14246E-05    0.14229E-05   -0.14775E-05
    47    0.47812E-04    0.14882E-05    0.14862E-05   -0.15746E-05
    48    0.51656E-04    0.15532E-05    0.15509E-05   -0.16750E-05
    49    0.55717E-04    0.16195E-05    0.16169E-05   -0.17787E-05
    50    0.60001E-04    0.16872E-05    0.16843E-05   -0.18855E-05
