#    L    TT             EE             BB             TE          
     2    0.23114E-05    0.83952E-09    0.84349E-09    0.65865E-08
     3    0.12743E-04    0.70149E-08    0.75074E-08    0.59666E-07
     4    0.43532E-04    0.38713E-07    0.40782E-07    0.28873E-06
     5    0.11309E-03    0.14665E-06    0.14912E-06    0.96721E-06
     6    0.24651E-03    0.42262E-06    0.42647E-06    0.25182E-05
     7    0.47569E-03    0.10131E-05    0.10206E-05    0.56645E-05
     8    0.83694E-03    0.21318E-05    0.21371E-05    0.11253E-04
     9    0.13727E-02    0.40281E-05    0.40435E-05    0.20339E-04
    10    0.21293E-02    0.70228E-05    0.70456E-05    0.34279E-04
    11    0.31566E-02    0.11465E-04    0.11502E-04    0.54288E-04
    12    0.45082E-02    0.17712E-04    0.17760E-04    0.81852E-04
    13    0.62421E-02    0.26153E-04    0.26216E-04    0.11847E-03
    14    0.84185E-02    0.37185E-04    0.37277E-04    0.16562E-03
    15    0.11104E-01    0.51201E-04    0.51330E-04    0.22485E-03
    16    0.14367E-01    0.68596E-04    0.68769E-04    0.29775E-03
    17    0.18284E-01    0.89787E-04    0.90016E-04    0.38600E-03
    18    0.22932E-01    0.11519E-03    0.11550E-03    0.49134E-03
    19    0.28394E-01    0.14525E-03    0.14566E-03    0.61560E-03
    20    0.34758E-01    0.18040E-03    0.18093E-03    0.76069E-03
    21    0.42119E-01    0.22114E-03    0.22182E-03    0.92860E-03
    22    0.50575E-01    0.26795E-03    0.26885E-03    0.11214E-02
    23    0.60228E-01    0.32138E-03    0.32255E-03    0.13415E-02
    24    0.71186E-01    0.38198E-03    0.38348E-03    0.15912E-02
    25    0.83561E-01    0.45036E-03    0.45224E-03    0.18731E-02
    26    0.97468E-01    0.52715E-03    0.52944E-03    0.21898E-02
    27    0.11303E+00    0.61300E-03    0.61581E-03    0.25439E-02
    28    0.13038E+00    0.70859E-03    0.71209E-03    0.29383E-02
    29    0.14963E+00    0.81464E-03    0.81900E-03    0.33760E-02
    30    0.17093E+00    0.93191E-03    0.93724E-03    0.38605E-02
    31    0.19442E+00    0.10612E-02    0.10676E-02    0.43947E-02
    32    0.22025E+00    0.12033E-02    0.12111E-02    0.49818E-02
    33    0.24855E+00    0.13590E-02    0.13683E-02    0.56253E-02
    34    0.27948E+00    0.15293E-02    0.15404E-02    0.63289E-02
    35    0.31320E+00    0.17149E-02    0.17281E-02    0.70964E-02
    36    0.34987E+00    0.19168E-02    0.19324E-02    0.79314E-02
    37    0.38966E+00    0.21360E-02    0.21543E-02    0.88376E-02
    38    0.43272E+00    0.23733E-02    0.23947E-02    0.98187E-02
    39    0.47924E+00    0.26299E-02    0.26547E-02    0.10879E-01
    40    0.52940E+00    0.29066E-02    0.29354E-02    0.12023E-01
    41    0.58337E+00    0.32046E-02    0.32379E-02    0.13255E-01
    42    0.64135E+00    0.35248E-02    0.35633E-02    0.14579E-01
    43    0.70354E+00    0.38684E-02    0.39127E-02    0.16001E-01
    44    0.77011E+00    0.42366E-02    0.42873E-02    0.17524E-01
    45    0.84127E+00    0.46304E-02    0.46883E-02    0.19152E-01
    46    0.91721E+00    0.50511E-02    0.51168E-02    0.20892E-01
    47    0.99815E+00    0.54998E-02    0.55741E-02    0.22746E-01
    48    0.10843E+01    0.59777E-02    0.60616E-02    0.24721E-01
    49    0.11759E+01    0.64860E-02    0.65808E-02    0.26822E-01
    50    0.12731E+01    0.70259E-02    0.71328E-02    0.29053E-01
    51    0.13762E+01    0.75986E-02    0.77191E-02    0.31420E-01
    52    0.14854E+01    0.82056E-02    0.83412E-02    0.33929E-01
    53    0.16009E+01    0.88482E-02    0.90004E-02    0.36585E-01
    54    0.17229E+01    0.95279E-02    0.96981E-02    0.39394E-01
    55    0.18518E+01    0.10246E-01    0.10436E-01    0.42362E-01
    56    0.19877E+01    0.11004E-01    0.11215E-01    0.45495E-01
    57    0.21309E+01    0.11804E-01    0.12037E-01    0.48798E-01
    58    0.22816E+01    0.12646E-01    0.12904E-01    0.52277E-01
    59    0.24401E+01    0.13532E-01    0.13817E-01    0.55937E-01
    60    0.26066E+01    0.14464E-01    0.14779E-01    0.59785E-01
    61    0.27815E+01    0.15443E-01    0.15791E-01    0.63826E-01
    62    0.29649E+01    0.16471E-01    0.16854E-01    0.68066E-01
    63    0.31572E+01    0.17549E-01    0.17971E-01    0.72515E-01
    64    0.33586E+01    0.18679E-01    0.19143E-01    0.77178E-01
    65    0.35694E+01    0.19863E-01    0.20372E-01    0.82063E-01
