#    L    TT             EE             TE          
     2    0.10441E+02    0.15227E-05    0.54326E-03
     3    0.16102E+02    0.53433E-05    0.66481E-03
     4    0.22978E+02    0.10518E-04    0.75987E-03
     5    0.32928E+02    0.14410E-04    0.79499E-03
     6    0.46466E+02    0.15124E-04    0.76447E-03
     7    0.62136E+02    0.13126E-04    0.71101E-03
     8    0.82244E+02    0.10767E-04    0.57623E-03
     9    0.11132E+03    0.10415E-04    0.14673E-03
    10    0.14756E+03    0.12840E-04   -0.54630E-03
    11    0.18638E+03    0.16983E-04   -0.12087E-02
    12    0.23011E+03    0.21100E-04   -0.17691E-02
    13    0.27951E+03    0.24864E-04   -0.25562E-02
    14    0.33439E+03    0.28684E-04   -0.38622E-02
    15    0.39435E+03    0.34316E-04   -0.54809E-02
    16    0.45909E+03    0.43363E-04   -0.71790E-02
    17    0.52857E+03    0.55466E-04   -0.91114E-02
    18    0.60274E+03    0.69764E-04   -0.11519E-01
    19    0.68110E+03    0.85364E-04   -0.14602E-01
    20    0.76317E+03    0.10199E-03   -0.18491E-01
    21    0.84905E+03    0.12188E-03   -0.23092E-01
    22    0.93890E+03    0.14767E-03   -0.28308E-01
    23    0.10326E+04    0.18113E-03   -0.34254E-01
    24    0.11298E+04    0.22373E-03   -0.41086E-01
    25    0.12306E+04    0.27679E-03   -0.48910E-01
    26    0.13351E+04    0.34147E-03   -0.57799E-01
    27    0.14430E+04    0.41865E-03   -0.67748E-01
    28    0.15543E+04    0.50956E-03   -0.78786E-01
    29    0.16691E+04    0.61714E-03   -0.91149E-01
    30    0.17874E+04    0.74430E-03   -0.10512E+00
    31    0.19094E+04    0.89207E-03   -0.12096E+00
    32    0.20348E+04    0.10615E-02   -0.13892E+00
    33    0.21637E+04    0.12555E-02   -0.15924E+00
    34    0.22958E+04    0.14779E-02   -0.18207E+00
    35    0.24314E+04    0.17344E-02   -0.20731E+00
    36    0.25706E+04    0.20304E-02   -0.23493E+00
    37    0.27135E+04    0.23690E-02   -0.26540E+00
    38    0.28602E+04    0.27531E-02   -0.29922E+00
    39    0.30107E+04    0.31893E-02   -0.33639E+00
    40    0.31647E+04    0.36847E-02   -0.37679E+00
    41    0.33222E+04    0.42458E-02   -0.42039E+00
    42    0.34833E+04    0.48770E-02   -0.46758E+00
    43    0.36480E+04    0.55819E-02   -0.51884E+00
    44    0.38164E+04    0.63640E-02   -0.57463E+00
    45    0.39886E+04    0.72272E-02   -0.63546E+00
    46    0.41647E+04    0.81760E-02   -0.70172E+00
    47    0.43445E+04    0.92200E-02   -0.77361E+00
    48    0.45283E+04    0.10370E-01   -0.85123E+00
    49    0.47158E+04    0.11636E-01   -0.93472E+00
    50    0.49070E+04    0.13028E-01   -0.10242E+01
    51    0.51021E+04    0.14557E-01   -0.11198E+01
    52    0.53009E+04    0.16230E-01   -0.12220E+01
    53    0.55035E+04    0.18054E-01   -0.13311E+01
    54    0.57098E+04    0.20033E-01   -0.14478E+01
    55    0.59199E+04    0.22176E-01   -0.15723E+01
    56    0.61338E+04    0.24489E-01   -0.17053E+01
    57    0.63515E+04    0.26986E-01   -0.18470E+01
    58    0.65730E+04    0.29678E-01   -0.19979E+01
    59    0.67983E+04    0.32581E-01   -0.21586E+01
    60    0.70275E+04    0.35707E-01   -0.23293E+01
    61    0.72604E+04    0.39069E-01   -0.25106E+01
    62    0.74972E+04    0.42679E-01   -0.27030E+01
    63    0.77379E+04    0.46549E-01   -0.29069E+01
    64    0.79823E+04    0.50690E-01   -0.31229E+01
    65    0.82306E+04    0.55113E-01   -0.33515E+01
    66    0.84828E+04    0.59830E-01   -0.35932E+01
    67    0.87388E+04    0.64854E-01   -0.38483E+01
    68    0.89987E+04    0.70199E-01   -0.41170E+01
    69    0.92625E+04    0.75877E-01   -0.43997E+01
    70    0.95304E+04    0.81902E-01   -0.46966E+01
    71    0.98022E+04    0.88288E-01   -0.50081E+01
    72    0.10078E+05    0.95048E-01   -0.53348E+01
    73    0.10358E+05    0.10220E+00   -0.56775E+01
    74    0.10641E+05    0.10975E+00   -0.60369E+01
    75    0.10929E+05    0.11772E+00   -0.64138E+01
    76    0.11221E+05    0.12611E+00   -0.68088E+01
    77    0.11516E+05    0.13496E+00   -0.72226E+01
    78    0.11815E+05    0.14426E+00   -0.76556E+01
    79    0.12118E+05    0.15404E+00   -0.81083E+01
    80    0.12426E+05    0.16431E+00   -0.85811E+01
    81    0.12737E+05    0.17508E+00   -0.90745E+01
    82    0.13053E+05    0.18637E+00   -0.95888E+01
    83    0.13372E+05    0.19818E+00   -0.10124E+02
    84    0.13696E+05    0.21054E+00   -0.10681E+02
    85    0.14024E+05    0.22345E+00   -0.11259E+02
    86    0.14356E+05    0.23694E+00   -0.11859E+02
    87    0.14692E+05    0.25100E+00   -0.12482E+02
    88    0.15033E+05    0.26567E+00   -0.13127E+02
    89    0.15377E+05    0.28094E+00   -0.13797E+02
    90    0.15726E+05    0.29685E+00   -0.14492E+02
    91    0.16079E+05    0.31341E+00   -0.15212E+02
    92    0.16436E+05    0.33061E+00   -0.15958E+02
    93    0.16797E+05    0.34848E+00   -0.16729E+02
    94    0.17163E+05    0.36701E+00   -0.17527E+02
    95    0.17532E+05    0.38622E+00   -0.18351E+02
    96    0.17906E+05    0.40612E+00   -0.19202E+02
    97    0.18284E+05    0.42670E+00   -0.20080E+02
    98    0.18667E+05    0.44799E+00   -0.20984E+02
    99    0.19053E+05    0.46998E+00   -0.21916E+02
   100    0.19445E+05    0.49269E+00   -0.22875E+02
   101    0.19840E+05    0.51612E+00   -0.23862E+02
   102    0.20240E+05    0.54029E+00   -0.24876E+02
   103    0.20644E+05    0.56519E+00   -0.25918E+02
   104    0.21053E+05    0.59084E+00   -0.26989E+02
   105    0.21466E+05    0.61724E+00   -0.28088E+02
   106    0.21884E+05    0.64440E+00   -0.29215E+02
   107    0.22306E+05    0.67234E+00   -0.30372E+02
   108    0.22733E+05    0.70105E+00   -0.31557E+02
   109    0.23164E+05    0.73055E+00   -0.32771E+02
   110    0.23600E+05    0.76084E+00   -0.34015E+02
   111    0.24040E+05    0.79192E+00   -0.35288E+02
   112    0.24485E+05    0.82381E+00   -0.36591E+02
   113    0.24935E+05    0.85650E+00   -0.37921E+02
   114    0.25389E+05    0.88999E+00   -0.39281E+02
   115    0.25848E+05    0.92428E+00   -0.40667E+02
   116    0.26312E+05    0.95937E+00   -0.42081E+02
   117    0.26780E+05    0.99525E+00   -0.43522E+02
   118    0.27253E+05    0.10319E+01   -0.44988E+02
   119    0.27731E+05    0.10694E+01   -0.46481E+02
   120    0.28214E+05    0.11077E+01   -0.47998E+02
   121    0.28701E+05    0.11468E+01   -0.49541E+02
   122    0.29193E+05    0.11866E+01   -0.51107E+02
   123    0.29689E+05    0.12273E+01   -0.52697E+02
   124    0.30191E+05    0.12688E+01   -0.54311E+02
   125    0.30697E+05    0.13110E+01   -0.55947E+02
   126    0.31208E+05    0.13541E+01   -0.57606E+02
   127    0.31724E+05    0.13979E+01   -0.59286E+02
   128    0.32245E+05    0.14425E+01   -0.60987E+02
   129    0.32771E+05    0.14880E+01   -0.62710E+02
   130    0.33302E+05    0.15342E+01   -0.64453E+02
   131    0.33837E+05    0.15812E+01   -0.66215E+02
   132    0.34378E+05    0.16290E+01   -0.67996E+02
   133    0.34923E+05    0.16775E+01   -0.69793E+02
   134    0.35473E+05    0.17269E+01   -0.71606E+02
