#    L    TT             EE             BB             TE          
     2    0.41108E-07    0.20042E-10    0.21859E-10    0.34646E-09
     3    0.71691E-07    0.41468E-10    0.44067E-10    0.27361E-09
     4    0.11798E-06    0.89606E-10    0.91206E-10   -0.46907E-11
     5    0.18031E-06    0.14224E-09    0.14244E-09   -0.52389E-09
     6    0.25820E-06    0.20180E-09    0.19902E-09   -0.12763E-08
     7    0.35111E-06    0.27171E-09    0.26504E-09   -0.21985E-08
     8    0.46108E-06    0.35043E-09    0.34059E-09   -0.32782E-08
     9    0.58574E-06    0.43619E-09    0.42445E-09   -0.44640E-08
    10    0.72402E-06    0.52803E-09    0.51621E-09   -0.57433E-08
    11    0.87863E-06    0.62606E-09    0.61601E-09   -0.71498E-08
    12    0.10499E-05    0.73183E-09    0.72399E-09   -0.86948E-08
    13    0.12368E-05    0.84633E-09    0.84016E-09   -0.10378E-07
    14    0.14378E-05    0.97014E-09    0.96442E-09   -0.12200E-07
    15    0.16511E-05    0.11032E-08    0.10964E-08   -0.14176E-07
    16    0.18753E-05    0.12451E-08    0.12358E-08   -0.16320E-07
    17    0.21101E-05    0.13950E-08    0.13823E-08   -0.18638E-07
    18    0.23554E-05    0.15520E-08    0.15356E-08   -0.21130E-07
    19    0.26105E-05    0.17160E-08    0.16954E-08   -0.23801E-07
    20    0.28742E-05    0.18872E-08    0.18613E-08   -0.26651E-07
    21    0.31446E-05    0.20653E-08    0.20330E-08   -0.29662E-07
    22    0.34204E-05    0.22502E-08    0.22103E-08   -0.32812E-07
    23    0.37018E-05    0.24417E-08    0.23929E-08   -0.36090E-07
    24    0.39889E-05    0.26396E-08    0.25805E-08   -0.39480E-07
    25    0.42803E-05    0.28433E-08    0.27729E-08   -0.42964E-07
    26    0.45746E-05    0.30524E-08    0.29697E-08   -0.46517E-07
    27    0.48716E-05    0.32660E-08    0.31710E-08   -0.50114E-07
    28    0.51715E-05    0.34840E-08    0.33768E-08   -0.53733E-07
    29    0.54737E-05    0.37078E-08    0.35870E-08   -0.57364E-07
    30    0.57773E-05    0.39392E-08    0.38014E-08   -0.60995E-07
    31    0.60819E-05    0.41776E-08    0.40198E-08   -0.64599E-07
