#    L    TT             EE             BB             TE          
     2    0.39962E-04    0.64638E-08    0.94086E-08    0.44232E-06
     3    0.88874E-04    0.10620E-07    0.21474E-07    0.80193E-06
     4    0.15917E-03    0.12417E-07    0.29917E-07    0.11114E-05
     5    0.25231E-03    0.12258E-07    0.32300E-07    0.13406E-05
     6    0.36948E-03    0.11414E-07    0.30226E-07    0.14921E-05
     7    0.51183E-03    0.11260E-07    0.27322E-07    0.15866E-05
     8    0.68018E-03    0.12898E-07    0.27032E-07    0.16521E-05
     9    0.87531E-03    0.16970E-07    0.31335E-07    0.17137E-05
    10    0.10972E-02    0.23853E-07    0.40614E-07    0.17931E-05
    11    0.13471E-02    0.33676E-07    0.54403E-07    0.18952E-05
    12    0.16270E-02    0.46568E-07    0.72060E-07    0.20483E-05
    13    0.19345E-02    0.62736E-07    0.93508E-07    0.22542E-05
    14    0.22673E-02    0.82412E-07    0.11902E-06    0.25094E-05
    15    0.26288E-02    0.10585E-06    0.14963E-06    0.28236E-05
    16    0.30228E-02    0.13334E-06    0.18651E-06    0.32084E-05
    17    0.34493E-02    0.16539E-06    0.23063E-06    0.36687E-05
    18    0.39072E-02    0.20252E-06    0.28288E-06    0.42082E-05
    19    0.43950E-02    0.24518E-06    0.34386E-06    0.48309E-05
    20    0.49115E-02    0.29382E-06    0.41420E-06    0.55405E-05
    21    0.54570E-02    0.34894E-06    0.49470E-06    0.63364E-05
    22    0.60323E-02    0.41104E-06    0.58623E-06    0.72194E-05
    23    0.66378E-02    0.48059E-06    0.68962E-06    0.81982E-05
    24    0.72739E-02    0.55807E-06    0.80574E-06    0.92814E-05
    25    0.79404E-02    0.64397E-06    0.93544E-06    0.10470E-04
    26    0.86372E-02    0.73879E-06    0.10796E-05    0.11763E-04
    27    0.93640E-02    0.84311E-06    0.12394E-05    0.13164E-04
    28    0.10120E-01    0.95752E-06    0.14156E-05    0.14675E-04
    29    0.10907E-01    0.10826E-05    0.16094E-05    0.16296E-04
    30    0.11723E-01    0.12188E-05    0.18215E-05    0.18030E-04
    31    0.12570E-01    0.13668E-05    0.20532E-05    0.19880E-04
    32    0.13448E-01    0.15270E-05    0.23057E-05    0.21851E-04
    33    0.14355E-01    0.17001E-05    0.25801E-05    0.23949E-04
    34    0.15293E-01    0.18865E-05    0.28775E-05    0.26178E-04
    35    0.16261E-01    0.20867E-05    0.31990E-05    0.28547E-04
    36    0.17259E-01    0.23011E-05    0.35456E-05    0.31059E-04
    37    0.18286E-01    0.25306E-05    0.39182E-05    0.33708E-04
    38    0.19342E-01    0.27759E-05    0.43179E-05    0.36486E-04
    39    0.20427E-01    0.30375E-05    0.47461E-05    0.39402E-04
    40    0.21542E-01    0.33157E-05    0.52040E-05    0.42469E-04
    41    0.22686E-01    0.36111E-05    0.56931E-05    0.45698E-04
    42    0.23859E-01    0.39241E-05    0.62146E-05    0.49089E-04
    43    0.25062E-01    0.42554E-05    0.67696E-05    0.52645E-04
    44    0.26294E-01    0.46056E-05    0.73594E-05    0.56365E-04
    45    0.27555E-01    0.49753E-05    0.79851E-05    0.60250E-04
    46    0.28844E-01    0.53652E-05    0.86480E-05    0.64300E-04
    47    0.30162E-01    0.57757E-05    0.93494E-05    0.68520E-04
    48    0.31509E-01    0.62074E-05    0.10090E-04    0.72913E-04
    49    0.32884E-01    0.66609E-05    0.10872E-04    0.77485E-04
    50    0.34287E-01    0.71366E-05    0.11697E-04    0.82238E-04
    51    0.35718E-01    0.76351E-05    0.12564E-04    0.87177E-04
    52    0.37177E-01    0.81570E-05    0.13476E-04    0.92305E-04
    53    0.38664E-01    0.87029E-05    0.14435E-04    0.97622E-04
    54    0.40178E-01    0.92733E-05    0.15440E-04    0.10313E-03
    55    0.41720E-01    0.98689E-05    0.16494E-04    0.10883E-03
    56    0.43289E-01    0.10490E-04    0.17598E-04    0.11473E-03
    57    0.44886E-01    0.11138E-04    0.18753E-04    0.12083E-03
    58    0.46510E-01    0.11812E-04    0.19961E-04    0.12713E-03
    59    0.48161E-01    0.12514E-04    0.21223E-04    0.13363E-03
    60    0.49839E-01    0.13243E-04    0.22541E-04    0.14035E-03
    61    0.51543E-01    0.14001E-04    0.23916E-04    0.14727E-03
    62    0.53275E-01    0.14788E-04    0.25350E-04    0.15441E-03
    63    0.55033E-01    0.15605E-04    0.26844E-04    0.16176E-03
    64    0.56817E-01    0.16451E-04    0.28399E-04    0.16931E-03
    65    0.58627E-01    0.17328E-04    0.30019E-04    0.17708E-03
    66    0.60463E-01    0.18237E-04    0.31703E-04    0.18505E-03
    67    0.62325E-01    0.19177E-04    0.33453E-04    0.19324E-03
    68    0.64212E-01    0.20149E-04    0.35271E-04    0.20164E-03
    69    0.66126E-01    0.21154E-04    0.37158E-04    0.21028E-03
    70    0.68064E-01    0.22192E-04    0.39115E-04    0.21915E-03
    71    0.70028E-01    0.23263E-04    0.41143E-04    0.22825E-03
    72    0.72017E-01    0.24369E-04    0.43245E-04    0.23760E-03
    73    0.74031E-01    0.25509E-04    0.45422E-04    0.24717E-03
    74    0.76070E-01    0.26685E-04    0.47674E-04    0.25697E-03
    75    0.78134E-01    0.27897E-04    0.50005E-04    0.26699E-03
    76    0.80222E-01    0.29145E-04    0.52415E-04    0.27723E-03
    77    0.82335E-01    0.30431E-04    0.54906E-04    0.28769E-03
    78    0.84472E-01    0.31754E-04    0.57479E-04    0.29837E-03
    79    0.86632E-01    0.33115E-04    0.60136E-04    0.30928E-03
    80    0.88816E-01    0.34514E-04    0.62877E-04    0.32042E-03
    81    0.91024E-01    0.35952E-04    0.65704E-04    0.33179E-03
    82    0.93255E-01    0.37429E-04    0.68619E-04    0.34341E-03
    83    0.95510E-01    0.38945E-04    0.71622E-04    0.35527E-03
    84    0.97788E-01    0.40502E-04    0.74717E-04    0.36737E-03
    85    0.10009E+00    0.42100E-04    0.77904E-04    0.37972E-03
    86    0.10241E+00    0.43738E-04    0.81185E-04    0.39232E-03
    87    0.10476E+00    0.45418E-04    0.84561E-04    0.40517E-03
    88    0.10713E+00    0.47140E-04    0.88035E-04    0.41827E-03
    89    0.10953E+00    0.48905E-04    0.91607E-04    0.43162E-03
    90    0.11195E+00    0.50713E-04    0.95280E-04    0.44522E-03
    91    0.11438E+00    0.52564E-04    0.99054E-04    0.45907E-03
    92    0.11685E+00    0.54459E-04    0.10293E-03    0.47317E-03
    93    0.11933E+00    0.56398E-04    0.10691E-03    0.48752E-03
    94    0.12184E+00    0.58382E-04    0.11100E-03    0.50212E-03
    95    0.12437E+00    0.60412E-04    0.11520E-03    0.51697E-03
    96    0.12692E+00    0.62487E-04    0.11950E-03    0.53207E-03
    97    0.12949E+00    0.64608E-04    0.12392E-03    0.54742E-03
    98    0.13208E+00    0.66775E-04    0.12845E-03    0.56302E-03
    99    0.13470E+00    0.68989E-04    0.13309E-03    0.57887E-03
   100    0.13734E+00    0.71250E-04    0.13785E-03    0.59497E-03
   101    0.14000E+00    0.73559E-04    0.14272E-03    0.61132E-03
   102    0.14268E+00    0.75916E-04    0.14772E-03    0.62792E-03
   103    0.14538E+00    0.78321E-04    0.15283E-03    0.64477E-03
   104    0.14810E+00    0.80775E-04    0.15806E-03    0.66187E-03
   105    0.15085E+00    0.83278E-04    0.16342E-03    0.67922E-03
   106    0.15361E+00    0.85831E-04    0.16890E-03    0.69682E-03
   107    0.15640E+00    0.88433E-04    0.17450E-03    0.71467E-03
   108    0.15921E+00    0.91087E-04    0.18024E-03    0.73277E-03
   109    0.16204E+00    0.93791E-04    0.18610E-03    0.75113E-03
   110    0.16489E+00    0.96546E-04    0.19209E-03    0.76973E-03
   111    0.16776E+00    0.99353E-04    0.19821E-03    0.78858E-03
   112    0.17065E+00    0.10221E-03    0.20447E-03    0.80769E-03
   113    0.17356E+00    0.10512E-03    0.21086E-03    0.82704E-03
   114    0.17650E+00    0.10809E-03    0.21739E-03    0.84664E-03
   115    0.17945E+00    0.11110E-03    0.22405E-03    0.86650E-03
   116    0.18242E+00    0.11417E-03    0.23086E-03    0.88660E-03
   117    0.18542E+00    0.11730E-03    0.23780E-03    0.90696E-03
   118    0.18843E+00    0.12047E-03    0.24489E-03    0.92756E-03
   119    0.19146E+00    0.12371E-03    0.25212E-03    0.94842E-03
   120    0.19452E+00    0.12699E-03    0.25949E-03    0.96952E-03
   121    0.19759E+00    0.13033E-03    0.26701E-03    0.99087E-03
   122    0.20068E+00    0.13373E-03    0.27468E-03    0.10125E-02
   123    0.20380E+00    0.13718E-03    0.28250E-03    0.10343E-02
   124    0.20693E+00    0.14069E-03    0.29047E-03    0.10564E-02
   125    0.21008E+00    0.14426E-03    0.29859E-03    0.10788E-02
   126    0.21325E+00    0.14788E-03    0.30686E-03    0.11014E-02
   127    0.21644E+00    0.15156E-03    0.31529E-03    0.11242E-02
   128    0.21965E+00    0.15530E-03    0.32388E-03    0.11473E-02
   129    0.22288E+00    0.15909E-03    0.33262E-03    0.11707E-02
   130    0.22613E+00    0.16294E-03    0.34152E-03    0.11943E-02
   131    0.22939E+00    0.16685E-03    0.35058E-03    0.12181E-02
   132    0.23268E+00    0.17082E-03    0.35981E-03    0.12422E-02
   133    0.23598E+00    0.17485E-03    0.36920E-03    0.12665E-02
   134    0.23930E+00    0.17894E-03    0.37875E-03    0.12911E-02
   135    0.24265E+00    0.18308E-03    0.38847E-03    0.13160E-02
   136    0.24601E+00    0.18729E-03    0.39836E-03    0.13410E-02
   137    0.24938E+00    0.19155E-03    0.40842E-03    0.13664E-02
