#    L    TT             EE             TE          
     2    0.55658E+01    0.23222E-03    0.13956E-01
     3    0.55063E+01    0.40741E-03    0.18862E-01
     4    0.54010E+01    0.47990E-03    0.20501E-01
     5    0.53318E+01    0.43935E-03    0.19858E-01
     6    0.53094E+01    0.33115E-03    0.17931E-01
     7    0.53310E+01    0.21318E-03    0.15447E-01
     8    0.53871E+01    0.12452E-03    0.12913E-01
     9    0.54715E+01    0.75990E-04    0.10627E-01
    10    0.55791E+01    0.57955E-04    0.87895E-02
    11    0.57023E+01    0.54044E-04    0.75164E-02
    12    0.58435E+01    0.51444E-04    0.68566E-02
    13    0.59957E+01    0.47270E-04    0.66901E-02
    14    0.61514E+01    0.41637E-04    0.68672E-02
    15    0.63135E+01    0.37293E-04    0.72848E-02
    16    0.64861E+01    0.36752E-04    0.78520E-02
    17    0.66680E+01    0.38974E-04    0.84789E-02
    18    0.68567E+01    0.42201E-04    0.90831E-02
    19    0.70492E+01    0.45351E-04    0.96133E-02
    20    0.72429E+01    0.47910E-04    0.10042E-01
    21    0.74383E+01    0.50934E-04    0.10409E-01
    22    0.76363E+01    0.55677E-04    0.10761E-01
    23    0.78370E+01    0.62614E-04    0.11112E-01
    24    0.80402E+01    0.71920E-04    0.11474E-01
    25    0.82452E+01    0.83371E-04    0.11866E-01
    26    0.84515E+01    0.96664E-04    0.12307E-01
    27    0.86596E+01    0.11158E-03    0.12779E-01
    28    0.88700E+01    0.12799E-03    0.13257E-01
    29    0.90821E+01    0.14611E-03    0.13719E-01
    30    0.92954E+01    0.16613E-03    0.14142E-01
    31    0.95104E+01    0.18772E-03    0.14500E-01
    32    0.97279E+01    0.21059E-03    0.14769E-01
    33    0.99476E+01    0.23487E-03    0.14923E-01
    34    0.10169E+02    0.26082E-03    0.14951E-01
    35    0.10391E+02    0.28883E-03    0.14889E-01
    36    0.10613E+02    0.31923E-03    0.14770E-01
    37    0.10837E+02    0.35196E-03    0.14568E-01
    38    0.11064E+02    0.38695E-03    0.14252E-01
    39    0.11293E+02    0.42437E-03    0.13843E-01
    40    0.11524E+02    0.46449E-03    0.13372E-01
    41    0.11755E+02    0.50747E-03    0.12861E-01
    42    0.11988E+02    0.55327E-03    0.12293E-01
    43    0.12221E+02    0.60173E-03    0.11642E-01
    44    0.12455E+02    0.65273E-03    0.10879E-01
    45    0.12692E+02    0.70614E-03    0.99779E-02
    46    0.12930E+02    0.76188E-03    0.89192E-02
    47    0.13170E+02    0.82012E-03    0.77104E-02
    48    0.13412E+02    0.88110E-03    0.63666E-02
    49    0.13656E+02    0.94507E-03    0.49026E-02
    50    0.13902E+02    0.10122E-02    0.33334E-02
    51    0.14149E+02    0.10828E-02    0.16697E-02
    52    0.14398E+02    0.11567E-02   -0.94423E-04
    53    0.14649E+02    0.12337E-02   -0.19690E-02
    54    0.14902E+02    0.13138E-02   -0.39640E-02
    55    0.15157E+02    0.13967E-02   -0.60895E-02
    56    0.15414E+02    0.14824E-02   -0.83540E-02
    57    0.15673E+02    0.15710E-02   -0.10760E-01
    58    0.15934E+02    0.16626E-02   -0.13307E-01
    59    0.16197E+02    0.17572E-02   -0.15996E-01
    60    0.16462E+02    0.18551E-02   -0.18828E-01
    61    0.16729E+02    0.19563E-02   -0.21802E-01
    62    0.16998E+02    0.20607E-02   -0.24921E-01
    63    0.17269E+02    0.21682E-02   -0.28184E-01
    64    0.17543E+02    0.22788E-02   -0.31593E-01
    65    0.17819E+02    0.23924E-02   -0.35148E-01
    66    0.18098E+02    0.25089E-02   -0.38849E-01
    67    0.18380E+02    0.26283E-02   -0.42689E-01
    68    0.18664E+02    0.27505E-02   -0.46661E-01
    69    0.18950E+02    0.28755E-02   -0.50757E-01
    70    0.19239E+02    0.30032E-02   -0.54971E-01
    71    0.19530E+02    0.31336E-02   -0.59296E-01
    72    0.19823E+02    0.32666E-02   -0.63737E-01
    73    0.20120E+02    0.34023E-02   -0.68302E-01
    74    0.20419E+02    0.35403E-02   -0.72997E-01
    75    0.20721E+02    0.36808E-02   -0.77830E-01
    76    0.21026E+02    0.38236E-02   -0.82805E-01
    77    0.21335E+02    0.39687E-02   -0.87920E-01
    78    0.21647E+02    0.41159E-02   -0.93168E-01
    79    0.21962E+02    0.42651E-02   -0.98546E-01
    80    0.22279E+02    0.44163E-02   -0.10405E+00
    81    0.22600E+02    0.45693E-02   -0.10966E+00
    82    0.22923E+02    0.47241E-02   -0.11539E+00
    83    0.23249E+02    0.48805E-02   -0.12123E+00
    84    0.23577E+02    0.50384E-02   -0.12716E+00
    85    0.23909E+02    0.51977E-02   -0.13318E+00
    86    0.24243E+02    0.53584E-02   -0.13929E+00
    87    0.24580E+02    0.55202E-02   -0.14547E+00
    88    0.24919E+02    0.56830E-02   -0.15175E+00
    89    0.25262E+02    0.58467E-02   -0.15810E+00
    90    0.25607E+02    0.60112E-02   -0.16454E+00
    91    0.25956E+02    0.61763E-02   -0.17106E+00
    92    0.26307E+02    0.63419E-02   -0.17766E+00
    93    0.26661E+02    0.65078E-02   -0.18434E+00
    94    0.27018E+02    0.66738E-02   -0.19108E+00
    95    0.27377E+02    0.68399E-02   -0.19788E+00
    96    0.27740E+02    0.70059E-02   -0.20474E+00
    97    0.28105E+02    0.71715E-02   -0.21165E+00
    98    0.28473E+02    0.73367E-02   -0.21860E+00
    99    0.28843E+02    0.75013E-02   -0.22560E+00
   100    0.29216E+02    0.76651E-02   -0.23263E+00
   101    0.29592E+02    0.78281E-02   -0.23969E+00
   102    0.29971E+02    0.79899E-02   -0.24678E+00
   103    0.30352E+02    0.81506E-02   -0.25388E+00
   104    0.30736E+02    0.83098E-02   -0.26100E+00
   105    0.31123E+02    0.84675E-02   -0.26813E+00
   106    0.31512E+02    0.86236E-02   -0.27525E+00
   107    0.31904E+02    0.87778E-02   -0.28238E+00
   108    0.32298E+02    0.89300E-02   -0.28950E+00
   109    0.32695E+02    0.90800E-02   -0.29660E+00
   110    0.33094E+02    0.92278E-02   -0.30369E+00
   111    0.33496E+02    0.93731E-02   -0.31074E+00
   112    0.33900E+02    0.95158E-02   -0.31777E+00
   113    0.34307E+02    0.96558E-02   -0.32477E+00
   114    0.34715E+02    0.97930E-02   -0.33171E+00
   115    0.35126E+02    0.99272E-02   -0.33861E+00
   116    0.35539E+02    0.10058E-01   -0.34545E+00
   117    0.35954E+02    0.10186E-01   -0.35223E+00
   118    0.36370E+02    0.10311E-01   -0.35894E+00
   119    0.36789E+02    0.10432E-01   -0.36558E+00
   120    0.37209E+02    0.10549E-01   -0.37213E+00
