#    L    TT             EE             TE          
     2    0.19873E-01    0.22066E-09    0.32593E-06
     3    0.67559E-01    0.76482E-09    0.60753E-07
     4    0.16046E+00    0.17185E-08   -0.88584E-06
     5    0.29676E+00    0.32811E-08   -0.26059E-05
     6    0.46468E+00    0.60864E-08   -0.54938E-05
     7    0.64946E+00    0.10942E-07   -0.10419E-04
     8    0.84495E+00    0.18269E-07   -0.17904E-04
     9    0.10918E+01    0.27941E-07   -0.28397E-04
    10    0.14441E+01    0.40625E-07   -0.43141E-04
    11    0.18896E+01    0.58482E-07   -0.63096E-04
    12    0.23634E+01    0.85933E-07   -0.88103E-04
    13    0.28511E+01    0.12716E-06   -0.11932E-03
    14    0.33563E+01    0.18546E-06   -0.15825E-03
    15    0.38910E+01    0.26140E-06   -0.20595E-03
    16    0.44692E+01    0.35555E-06   -0.26347E-03
    17    0.51035E+01    0.47131E-06   -0.33201E-03
    18    0.57996E+01    0.61429E-06   -0.41286E-03
    19    0.65385E+01    0.79641E-06   -0.50752E-03
    20    0.73007E+01    0.10313E-05   -0.61754E-03
    21    0.80896E+01    0.13332E-05   -0.74441E-03
    22    0.89131E+01    0.17155E-05   -0.88965E-03
    23    0.97732E+01    0.21870E-05   -0.10551E-02
    24    0.10670E+02    0.27580E-05   -0.12425E-02
    25    0.11604E+02    0.34497E-05   -0.14541E-02
    26    0.12574E+02    0.42859E-05   -0.16917E-02
    27    0.13577E+02    0.52912E-05   -0.19578E-02
    28    0.14612E+02    0.64913E-05   -0.22545E-02
    29    0.15680E+02    0.79170E-05   -0.25847E-02
    30    0.16782E+02    0.95998E-05   -0.29512E-02
    31    0.17919E+02    0.11570E-04   -0.33568E-02
    32    0.19090E+02    0.13863E-04   -0.38041E-02
    33    0.20294E+02    0.16525E-04   -0.42959E-02
    34    0.21532E+02    0.19611E-04   -0.48353E-02
    35    0.22805E+02    0.23182E-04   -0.54245E-02
    36    0.24114E+02    0.27299E-04   -0.60659E-02
    37    0.25459E+02    0.32006E-04   -0.67630E-02
    38    0.26840E+02    0.37351E-04   -0.75194E-02
    39    0.28256E+02    0.43415E-04   -0.83380E-02
    40    0.29706E+02    0.50287E-04   -0.92213E-02
    41    0.31187E+02    0.58053E-04   -0.10172E-01
    42    0.32702E+02    0.66792E-04   -0.11194E-01
    43    0.34249E+02    0.76578E-04   -0.12291E-01
    44    0.35831E+02    0.87487E-04   -0.13465E-01
    45    0.37448E+02    0.99595E-04   -0.14722E-01
    46    0.39101E+02    0.11299E-03   -0.16064E-01
    47    0.40789E+02    0.12780E-03   -0.17495E-01
    48    0.42514E+02    0.14417E-03   -0.19020E-01
    49    0.44273E+02    0.16224E-03   -0.20644E-01
    50    0.46067E+02    0.18216E-03   -0.22370E-01
    51    0.47896E+02    0.20406E-03   -0.24204E-01
    52    0.49759E+02    0.22808E-03   -0.26148E-01
    53    0.51657E+02    0.25436E-03   -0.28207E-01
    54    0.53590E+02    0.28301E-03   -0.30384E-01
    55    0.55558E+02    0.31419E-03   -0.32682E-01
    56    0.57560E+02    0.34802E-03   -0.35106E-01
    57    0.59598E+02    0.38470E-03   -0.37661E-01
    58    0.61670E+02    0.42444E-03   -0.40353E-01
    59    0.63777E+02    0.46743E-03   -0.43187E-01
    60    0.65918E+02    0.51389E-03   -0.46169E-01
    61    0.68094E+02    0.56400E-03   -0.49305E-01
    62    0.70305E+02    0.61800E-03   -0.52599E-01
    63    0.72550E+02    0.67612E-03   -0.56059E-01
    64    0.74830E+02    0.73856E-03   -0.59689E-01
    65    0.77145E+02    0.80557E-03   -0.63495E-01
    66    0.79495E+02    0.87737E-03   -0.67483E-01
    67    0.81881E+02    0.95420E-03   -0.71658E-01
    68    0.84301E+02    0.10363E-02   -0.76025E-01
    69    0.86757E+02    0.11240E-02   -0.80589E-01
    70    0.89249E+02    0.12174E-02   -0.85356E-01
    71    0.91776E+02    0.13168E-02   -0.90332E-01
    72    0.94340E+02    0.14226E-02   -0.95522E-01
    73    0.96939E+02    0.15350E-02   -0.10093E+00
    74    0.99573E+02    0.16543E-02   -0.10657E+00
    75    0.10224E+03    0.17808E-02   -0.11245E+00
    76    0.10495E+03    0.19149E-02   -0.11857E+00
    77    0.10769E+03    0.20568E-02   -0.12493E+00
    78    0.11046E+03    0.22068E-02   -0.13155E+00
    79    0.11327E+03    0.23653E-02   -0.13844E+00
