#    L    TT             EE             BB             TE          
     2    0.33887E-07    0.43929E-09    0.43911E-09   -0.24148E-10
     3    0.22501E-07    0.29346E-08    0.30446E-08   -0.80217E-10
     4    0.20267E-07    0.22454E-07    0.22087E-07   -0.60434E-09
     5    0.32396E-07    0.44063E-07    0.44036E-07   -0.13179E-08
     6    0.53432E-07    0.64294E-07    0.64350E-07   -0.27262E-08
     7    0.91327E-07    0.88755E-07    0.88828E-07   -0.49908E-08
     8    0.14945E-06    0.12236E-06    0.12257E-06   -0.85126E-08
     9    0.23446E-06    0.16139E-06    0.16146E-06   -0.13505E-07
    10    0.35518E-06    0.20183E-06    0.20173E-06   -0.20441E-07
    11    0.52055E-06    0.24808E-06    0.24798E-06   -0.29678E-07
    12    0.74211E-06    0.30035E-06    0.30033E-06   -0.41608E-07
    13    0.10320E-05    0.35742E-06    0.35746E-06   -0.56819E-07
    14    0.14023E-05    0.41851E-06    0.41855E-06   -0.75877E-07
    15    0.18651E-05    0.48438E-06    0.48441E-06   -0.99081E-07
    16    0.24331E-05    0.55585E-06    0.55590E-06   -0.12678E-06
    17    0.31221E-05    0.63241E-06    0.63249E-06   -0.15978E-06
    18    0.39489E-05    0.71346E-06    0.71356E-06   -0.19885E-06
    19    0.49315E-05    0.79934E-06    0.79945E-06   -0.24413E-06
    20    0.60864E-05    0.89048E-06    0.89059E-06   -0.29579E-06
    21    0.74249E-05    0.98662E-06    0.98672E-06   -0.35483E-06
    22    0.89597E-05    0.10875E-05    0.10876E-05   -0.42221E-06
    23    0.10716E-04    0.11932E-05    0.11933E-05   -0.49794E-06
    24    0.12719E-04    0.13040E-05    0.13040E-05   -0.58201E-06
    25    0.14980E-04    0.14197E-05    0.14196E-05   -0.67523E-06
    26    0.17512E-04    0.15402E-05    0.15401E-05   -0.77842E-06
    27    0.20335E-04    0.16655E-05    0.16654E-05   -0.89136E-06
    28    0.23473E-04    0.17958E-05    0.17956E-05   -0.10139E-05
    29    0.26940E-04    0.19309E-05    0.19307E-05   -0.11470E-05
    30    0.30752E-04    0.20709E-05    0.20706E-05   -0.12919E-05
    31    0.34927E-04    0.22157E-05    0.22153E-05   -0.14480E-05
    32    0.39486E-04    0.23655E-05    0.23649E-05   -0.16149E-05
    33    0.44448E-04    0.25201E-05    0.25193E-05   -0.17929E-05
    34    0.49835E-04    0.26795E-05    0.26785E-05   -0.19827E-05
    35    0.55661E-04    0.28437E-05    0.28425E-05   -0.21841E-05
    36    0.61944E-04    0.30127E-05    0.30112E-05   -0.23970E-05
    37    0.68706E-04    0.31865E-05    0.31848E-05   -0.26217E-05
    38    0.75967E-04    0.33652E-05    0.33631E-05   -0.28583E-05
    39    0.83749E-04    0.35487E-05    0.35462E-05   -0.31067E-05
    40    0.92070E-04    0.37370E-05    0.37340E-05   -0.33667E-05
    41    0.10095E-03    0.39300E-05    0.39266E-05   -0.36379E-05
    42    0.11041E-03    0.41277E-05    0.41239E-05   -0.39205E-05
    43    0.12048E-03    0.43302E-05    0.43259E-05   -0.42143E-05
    44    0.13117E-03    0.45375E-05    0.45326E-05   -0.45195E-05
    45    0.14251E-03    0.47495E-05    0.47440E-05   -0.48362E-05
    46    0.15453E-03    0.49663E-05    0.49601E-05   -0.51643E-05
    47    0.16725E-03    0.51878E-05    0.51808E-05   -0.55038E-05
    48    0.18070E-03    0.54141E-05    0.54061E-05   -0.58547E-05
    49    0.19490E-03    0.56451E-05    0.56361E-05   -0.62168E-05
    50    0.20988E-03    0.58808E-05    0.58707E-05   -0.65901E-05
    51    0.22568E-03    0.61211E-05    0.61100E-05   -0.69746E-05
