#    L    TT             EE             BB             TE          
     2    0.80924E-05    0.29404E-08    0.29541E-08    0.23064E-07
     3    0.44620E-04    0.24568E-07    0.26293E-07    0.20895E-06
     4    0.15244E-03    0.13561E-06    0.14285E-06    0.10113E-05
     5    0.39606E-03    0.51380E-06    0.52244E-06    0.33884E-05
     6    0.86343E-03    0.14810E-05    0.14945E-05    0.88234E-05
     7    0.16663E-02    0.35508E-05    0.35771E-05    0.19851E-04
     8    0.29320E-02    0.74728E-05    0.74914E-05    0.39443E-04
     9    0.48091E-02    0.14123E-04    0.14176E-04    0.71298E-04
    10    0.74603E-02    0.24626E-04    0.24706E-04    0.12018E-03
    11    0.11060E-01    0.40209E-04    0.40337E-04    0.19036E-03
    12    0.15797E-01    0.62126E-04    0.62292E-04    0.28704E-03
    13    0.21874E-01    0.91743E-04    0.91962E-04    0.41548E-03
    14    0.29502E-01    0.13046E-03    0.13078E-03    0.58090E-03
    15    0.38913E-01    0.17964E-03    0.18010E-03    0.78873E-03
    16    0.50350E-01    0.24070E-03    0.24131E-03    0.10445E-02
    17    0.64077E-01    0.31508E-03    0.31588E-03    0.13542E-02
    18    0.80368E-01    0.40426E-03    0.40534E-03    0.17238E-02
    19    0.99514E-01    0.50978E-03    0.51121E-03    0.21599E-02
    20    0.12182E+00    0.63318E-03    0.63503E-03    0.26690E-02
    21    0.14762E+00    0.77617E-03    0.77858E-03    0.32583E-02
    22    0.17726E+00    0.94052E-03    0.94366E-03    0.39350E-02
    23    0.21109E+00    0.11281E-02    0.11322E-02    0.47073E-02
    24    0.24950E+00    0.13408E-02    0.13461E-02    0.55837E-02
    25    0.29287E+00    0.15809E-02    0.15875E-02    0.65730E-02
    26    0.34162E+00    0.18505E-02    0.18585E-02    0.76843E-02
    27    0.39616E+00    0.21519E-02    0.21617E-02    0.89269E-02
    28    0.45696E+00    0.24874E-02    0.24997E-02    0.10311E-01
    29    0.52445E+00    0.28597E-02    0.28750E-02    0.11847E-01
    30    0.59912E+00    0.32714E-02    0.32901E-02    0.13547E-01
    31    0.68145E+00    0.37253E-02    0.37479E-02    0.15422E-01
    32    0.77195E+00    0.42242E-02    0.42513E-02    0.17482E-01
    33    0.87114E+00    0.47709E-02    0.48035E-02    0.19740E-01
    34    0.97956E+00    0.53685E-02    0.54075E-02    0.22210E-01
    35    0.10978E+01    0.60202E-02    0.60664E-02    0.24903E-01
    36    0.12263E+01    0.67290E-02    0.67836E-02    0.27833E-01
    37    0.13657E+01    0.74984E-02    0.75624E-02    0.31013E-01
    38    0.15167E+01    0.83317E-02    0.84064E-02    0.34456E-01
    39    0.16797E+01    0.92323E-02    0.93192E-02    0.38177E-01
    40    0.18555E+01    0.10204E-01    0.10305E-01    0.42191E-01
    41    0.20447E+01    0.11250E-01    0.11367E-01    0.46515E-01
    42    0.22479E+01    0.12374E-01    0.12509E-01    0.51163E-01
    43    0.24659E+01    0.13580E-01    0.13735E-01    0.56151E-01
    44    0.26992E+01    0.14873E-01    0.15051E-01    0.61495E-01
    45    0.29487E+01    0.16255E-01    0.16458E-01    0.67210E-01
    46    0.32148E+01    0.17732E-01    0.17962E-01    0.73313E-01
    47    0.34985E+01    0.19307E-01    0.19568E-01    0.79822E-01
    48    0.38005E+01    0.20985E-01    0.21279E-01    0.86753E-01
    49    0.41215E+01    0.22769E-01    0.23101E-01    0.94124E-01
    50    0.44623E+01    0.24665E-01    0.25039E-01    0.10195E+00
    51    0.48236E+01    0.26675E-01    0.27098E-01    0.11026E+00
    52    0.52063E+01    0.28806E-01    0.29281E-01    0.11906E+00
    53    0.56111E+01    0.31062E-01    0.31595E-01    0.12839E+00
    54    0.60390E+01    0.33448E-01    0.34045E-01    0.13824E+00
    55    0.64907E+01    0.35970E-01    0.36634E-01    0.14866E+00
    56    0.69670E+01    0.38631E-01    0.39369E-01    0.15965E+00
    57    0.74689E+01    0.41438E-01    0.42255E-01    0.17124E+00
    58    0.79971E+01    0.44395E-01    0.45298E-01    0.18345E+00
    59    0.85527E+01    0.47507E-01    0.48505E-01    0.19630E+00
    60    0.91365E+01    0.50778E-01    0.51881E-01    0.20980E+00
    61    0.97494E+01    0.54215E-01    0.55432E-01    0.22398E+00
    62    0.10392E+02    0.57823E-01    0.59165E-01    0.23886E+00
    63    0.11066E+02    0.61608E-01    0.63085E-01    0.25447E+00
    64    0.11772E+02    0.65574E-01    0.67199E-01    0.27084E+00
    65    0.12511E+02    0.69730E-01    0.71513E-01    0.28798E+00
    66    0.13284E+02    0.74079E-01    0.76032E-01    0.30593E+00
    67    0.14092E+02    0.78629E-01    0.80765E-01    0.32471E+00
    68    0.14935E+02    0.83386E-01    0.85716E-01    0.34434E+00
    69    0.15816E+02    0.88355E-01    0.90895E-01    0.36484E+00
    70    0.16734E+02    0.93544E-01    0.96307E-01    0.38623E+00
    71    0.17692E+02    0.98957E-01    0.10196E+00    0.40855E+00
    72    0.18689E+02    0.10460E+00    0.10786E+00    0.43180E+00
    73    0.19728E+02    0.11048E+00    0.11402E+00    0.45603E+00
    74    0.20808E+02    0.11661E+00    0.12044E+00    0.48125E+00
    75    0.21932E+02    0.12298E+00    0.12713E+00    0.50750E+00
    76    0.23101E+02    0.12961E+00    0.13410E+00    0.53481E+00
    77    0.24315E+02    0.13650E+00    0.14136E+00    0.56319E+00
    78    0.25576E+02    0.14367E+00    0.14892E+00    0.59269E+00
    79    0.26884E+02    0.15111E+00    0.15678E+00    0.62333E+00
    80    0.28242E+02    0.15884E+00    0.16495E+00    0.65515E+00
    81    0.29649E+02    0.16686E+00    0.17343E+00    0.68817E+00
    82    0.31108E+02    0.17518E+00    0.18224E+00    0.72243E+00
    83    0.32619E+02    0.18381E+00    0.19139E+00    0.75793E+00
    84    0.34184E+02    0.19275E+00    0.20088E+00    0.79472E+00
    85    0.35804E+02    0.20202E+00    0.21073E+00    0.83280E+00
    86    0.37480E+02    0.21161E+00    0.22095E+00    0.87222E+00
    87    0.39213E+02    0.22154E+00    0.23153E+00    0.91299E+00
    88    0.41004E+02    0.23181E+00    0.24250E+00    0.95515E+00
    89    0.42856E+02    0.24243E+00    0.25386E+00    0.99874E+00
    90    0.44768E+02    0.25341E+00    0.26562E+00    0.10438E+01
    91    0.46742E+02    0.26475E+00    0.27779E+00    0.10903E+01
    92    0.48780E+02    0.27647E+00    0.29038E+00    0.11384E+01
    93    0.50883E+02    0.28857E+00    0.30339E+00    0.11881E+01
    94    0.53052E+02    0.30107E+00    0.31685E+00    0.12393E+01
    95    0.55289E+02    0.31396E+00    0.33076E+00    0.12922E+01
    96    0.57595E+02    0.32727E+00    0.34513E+00    0.13467E+01
    97    0.59972E+02    0.34099E+00    0.35998E+00    0.14030E+01
    98    0.62420E+02    0.35514E+00    0.37531E+00    0.14609E+01
    99    0.64942E+02    0.36972E+00    0.39114E+00    0.15207E+01
   100    0.67538E+02    0.38475E+00    0.40748E+00    0.15822E+01
   101    0.70211E+02    0.40024E+00    0.42434E+00    0.16456E+01
   102    0.72961E+02    0.41618E+00    0.44173E+00    0.17108E+01
   103    0.75791E+02    0.43260E+00    0.45966E+00    0.17780E+01
   104    0.78700E+02    0.44950E+00    0.47815E+00    0.18470E+01
   105    0.81691E+02    0.46688E+00    0.49720E+00    0.19181E+01
   106    0.84766E+02    0.48477E+00    0.51683E+00    0.19911E+01
   107    0.87925E+02    0.50315E+00    0.53704E+00    0.20662E+01
   108    0.91170E+02    0.52206E+00    0.55786E+00    0.21434E+01
   109    0.94502E+02    0.54149E+00    0.57928E+00    0.22226E+01
   110    0.97924E+02    0.56145E+00    0.60133E+00    0.23040E+01
   111    0.10144E+03    0.58195E+00    0.62401E+00    0.23876E+01
   112    0.10504E+03    0.60300E+00    0.64733E+00    0.24734E+01
   113    0.10874E+03    0.62462E+00    0.67132E+00    0.25614E+01
   114    0.11253E+03    0.64681E+00    0.69598E+00    0.26518E+01
   115    0.11642E+03    0.66958E+00    0.72134E+00    0.27445E+01
   116    0.12040E+03    0.69294E+00    0.74740E+00    0.28395E+01
   117    0.12449E+03    0.71691E+00    0.77418E+00    0.29370E+01
   118    0.12868E+03    0.74150E+00    0.80170E+00    0.30369E+01
   119    0.13297E+03    0.76670E+00    0.82997E+00    0.31393E+01
   120    0.13737E+03    0.79255E+00    0.85900E+00    0.32442E+01
