#    L    TT             EE             BB             TE          
     2   0.106545E+04   0.316974E-01   0.149313E-02   0.268306E+01
     3   0.100244E+04   0.405087E-01   0.147258E-02   0.294711E+01
     4   0.948876E+03   0.351990E-01   0.124129E-02   0.275004E+01
     5   0.909904E+03   0.236208E-01   0.942389E-03   0.233781E+01
     6   0.883699E+03   0.133200E-01   0.673396E-03   0.188138E+01
     7   0.867326E+03   0.726953E-02   0.480149E-03   0.147673E+01
     8   0.857719E+03   0.473340E-02   0.369665E-03   0.116583E+01
     9   0.853473E+03   0.384586E-02   0.328845E-03   0.954053E+00
    10   0.853116E+03   0.335655E-02   0.338621E-03   0.833447E+00
    11   0.855223E+03   0.293196E-02   0.380536E-03   0.786806E+00
    12   0.860482E+03   0.267745E-02   0.441586E-03   0.795052E+00
    13   0.867017E+03   0.266118E-02   0.513574E-03   0.835281E+00
    14   0.874708E+03   0.282482E-02   0.592221E-03   0.885761E+00
    15   0.882560E+03   0.308631E-02   0.675745E-03   0.939320E+00
    16   0.892324E+03   0.342474E-02   0.763440E-03   0.997268E+00
    17   0.903814E+03   0.388245E-02   0.855009E-03   0.105708E+01
    18   0.915860E+03   0.450300E-02   0.950243E-03   0.111762E+01
    19   0.929221E+03   0.528999E-02   0.104900E-02   0.118215E+01
    20   0.942292E+03   0.622098E-02   0.115118E-02   0.124569E+01
    21   0.955779E+03   0.728961E-02   0.125671E-02   0.131275E+01
    22   0.969719E+03   0.850687E-02   0.136550E-02   0.138363E+01
    23   0.983726E+03   0.986478E-02   0.147737E-02   0.145570E+01
    24   0.998121E+03   0.113602E-01   0.159214E-02   0.152558E+01
    25   0.101304E+04   0.129973E-01   0.170963E-02   0.158551E+01
    26   0.102799E+04   0.147879E-01   0.182971E-02   0.163918E+01
    27   0.104339E+04   0.167426E-01   0.195235E-02   0.168742E+01
    28   0.105907E+04   0.188550E-01   0.207755E-02   0.172552E+01
    29   0.107493E+04   0.211528E-01   0.220519E-02   0.175846E+01
    30   0.109119E+04   0.236654E-01   0.233514E-02   0.177953E+01
    31   0.110723E+04   0.263890E-01   0.246724E-02   0.179959E+01
    32   0.112386E+04   0.293387E-01   0.260131E-02   0.181361E+01
    33   0.114056E+04   0.324729E-01   0.273715E-02   0.182009E+01
    34   0.115730E+04   0.358162E-01   0.287451E-02   0.182010E+01
    35   0.117467E+04   0.393758E-01   0.301298E-02   0.180446E+01
    36   0.119175E+04   0.431811E-01   0.315227E-02   0.178345E+01
    37   0.120909E+04   0.472575E-01   0.329258E-02   0.175127E+01
    38   0.122677E+04   0.515930E-01   0.343413E-02   0.170994E+01
    39   0.124472E+04   0.561768E-01   0.357663E-02   0.165927E+01
    40   0.126285E+04   0.610009E-01   0.371968E-02   0.159748E+01
    41   0.128107E+04   0.660616E-01   0.386293E-02   0.152335E+01
    42   0.129938E+04   0.713719E-01   0.400626E-02   0.143788E+01
    43   0.131780E+04   0.769486E-01   0.414957E-02   0.134224E+01
    44   0.133638E+04   0.828064E-01   0.429279E-02   0.123597E+01
    45   0.135518E+04   0.889570E-01   0.443585E-02   0.111833E+01
    46   0.137417E+04   0.954078E-01   0.457863E-02   0.988974E+00
    47   0.139333E+04   0.102159E+00   0.472102E-02   0.847372E+00
    48   0.141264E+04   0.109201E+00   0.486284E-02   0.692920E+00
    49   0.143209E+04   0.116527E+00   0.500396E-02   0.525091E+00
    50   0.145173E+04   0.124137E+00   0.514422E-02   0.343496E+00
    51   0.147162E+04   0.132034E+00   0.528348E-02   0.148055E+00
    52   0.149170E+04   0.140224E+00   0.542164E-02  -0.602731E-01
    53   0.151192E+04   0.148708E+00   0.555861E-02  -0.280483E+00
    54   0.153224E+04   0.157488E+00   0.569432E-02  -0.512427E+00
    55   0.155267E+04   0.166567E+00   0.582867E-02  -0.756328E+00
    56   0.157331E+04   0.175943E+00   0.596158E-02  -0.101305E+01
    57   0.159427E+04   0.185612E+00   0.609294E-02  -0.128347E+01
    58   0.161551E+04   0.195572E+00   0.622264E-02  -0.156777E+01
    59   0.163693E+04   0.205824E+00   0.635057E-02  -0.186587E+01
    60   0.165852E+04   0.216359E+00   0.647663E-02  -0.217725E+01
    61   0.168029E+04   0.227171E+00   0.660071E-02  -0.250144E+01
    62   0.170223E+04   0.238254E+00   0.672277E-02  -0.283844E+01
    63   0.172438E+04   0.249608E+00   0.684274E-02  -0.318839E+01
    64   0.174674E+04   0.261230E+00   0.696059E-02  -0.355143E+01
    65   0.176932E+04   0.273118E+00   0.707626E-02  -0.392774E+01
    66   0.179218E+04   0.285266E+00   0.718971E-02  -0.431753E+01
    67   0.181528E+04   0.297667E+00   0.730088E-02  -0.472028E+01
    68   0.183860E+04   0.310310E+00   0.740969E-02  -0.513524E+01
    69   0.186209E+04   0.323189E+00   0.751609E-02  -0.556171E+01
    70   0.188571E+04   0.336296E+00   0.762001E-02  -0.599919E+01
    71   0.190946E+04   0.349627E+00   0.772140E-02  -0.644748E+01
    72   0.193343E+04   0.363178E+00   0.782025E-02  -0.690750E+01
    73   0.195775E+04   0.376943E+00   0.791658E-02  -0.738023E+01
    74   0.198242E+04   0.390913E+00   0.801039E-02  -0.786558E+01
    75   0.200745E+04   0.405074E+00   0.810170E-02  -0.836313E+01
    76   0.203279E+04   0.419414E+00   0.819051E-02  -0.887235E+01
    77   0.205832E+04   0.433920E+00   0.827681E-02  -0.939177E+01
    78   0.208403E+04   0.448581E+00   0.836058E-02  -0.992094E+01
    79   0.210994E+04   0.463385E+00   0.844180E-02  -0.104597E+02
    80   0.213610E+04   0.478319E+00   0.852046E-02  -0.110079E+02
    81   0.216251E+04   0.493373E+00   0.859653E-02  -0.115655E+02
    82   0.218919E+04   0.508536E+00   0.867004E-02  -0.121319E+02
    83   0.221613E+04   0.523798E+00   0.874099E-02  -0.127070E+02
    84   0.224331E+04   0.539146E+00   0.880939E-02  -0.132901E+02
    85   0.227074E+04   0.554571E+00   0.887526E-02  -0.138812E+02
    86   0.229840E+04   0.570063E+00   0.893861E-02  -0.144795E+02
