#    L    TT             EE             BB             TE          
     2    0.48963E+03    0.15169E-01    0.23908E-01    0.28930E+00
     3    0.39054E+03    0.19757E-01    0.27858E-01   -0.41371E+00
     4    0.36517E+03    0.21297E-01    0.27648E-01   -0.64278E+00
     5    0.35490E+03    0.19865E-01    0.24566E-01   -0.68737E+00
     6    0.35027E+03    0.16611E-01    0.20092E-01   -0.64419E+00
     7    0.34853E+03    0.12763E-01    0.15450E-01   -0.56607E+00
     8    0.34824E+03    0.92598E-02    0.11415E-01   -0.48459E+00
     9    0.34887E+03    0.66107E-02    0.83317E-02   -0.41359E+00
    10    0.35008E+03    0.49441E-02    0.62486E-02   -0.35643E+00
    11    0.35133E+03    0.41544E-02    0.50490E-02   -0.31554E+00
    12    0.35213E+03    0.40177E-02    0.45503E-02   -0.29024E+00
    13    0.35272E+03    0.43176E-02    0.45611E-02   -0.27838E+00
    14    0.35346E+03    0.48653E-02    0.49054E-02   -0.27775E+00
    15    0.35450E+03    0.55531E-02    0.54669E-02   -0.28645E+00
    16    0.35583E+03    0.63061E-02    0.61548E-02   -0.30279E+00
    17    0.35708E+03    0.71010E-02    0.69198E-02   -0.32554E+00
    18    0.35790E+03    0.79293E-02    0.77284E-02   -0.35352E+00
    19    0.35829E+03    0.87905E-02    0.85683E-02   -0.38533E+00
    20    0.35832E+03    0.96859E-02    0.94336E-02   -0.41984E+00
    21    0.35807E+03    0.10616E-01    0.10322E-01   -0.45721E+00
    22    0.35761E+03    0.11579E-01    0.11231E-01   -0.49776E+00
    23    0.35694E+03    0.12572E-01    0.12159E-01   -0.54108E+00
    24    0.35606E+03    0.13591E-01    0.13106E-01   -0.58667E+00
    25    0.35500E+03    0.14632E-01    0.14068E-01   -0.63426E+00
    26    0.35378E+03    0.15693E-01    0.15043E-01   -0.68359E+00
    27    0.35239E+03    0.16768E-01    0.16031E-01   -0.73407E+00
    28    0.35086E+03    0.17855E-01    0.17032E-01   -0.78528E+00
    29    0.34917E+03    0.18965E-01    0.18047E-01   -0.83776E+00
    30    0.34732E+03    0.20109E-01    0.19074E-01   -0.89205E+00
    31    0.34534E+03    0.21285E-01    0.20113E-01   -0.94773E+00
    32    0.34324E+03    0.22486E-01    0.21162E-01   -0.10043E+01
    33    0.34102E+03    0.23702E-01    0.22221E-01   -0.10613E+01
    34    0.33866E+03    0.24925E-01    0.23287E-01   -0.11188E+01
    35    0.33617E+03    0.26158E-01    0.24359E-01   -0.11766E+01
    36    0.33358E+03    0.27408E-01    0.25433E-01   -0.12346E+01
    37    0.33089E+03    0.28677E-01    0.26511E-01   -0.12926E+01
    38    0.32810E+03    0.29963E-01    0.27595E-01   -0.13504E+01
    39    0.32521E+03    0.31264E-01    0.28683E-01   -0.14079E+01
    40    0.32221E+03    0.32577E-01    0.29772E-01   -0.14651E+01
    41    0.31913E+03    0.33899E-01    0.30858E-01   -0.15220E+01
    42    0.31595E+03    0.35228E-01    0.31939E-01   -0.15785E+01
    43    0.31269E+03    0.36564E-01    0.33016E-01   -0.16345E+01
    44    0.30934E+03    0.37907E-01    0.34087E-01   -0.16898E+01
    45    0.30591E+03    0.39257E-01    0.35151E-01   -0.17444E+01
    46    0.30241E+03    0.40612E-01    0.36207E-01   -0.17982E+01
    47    0.29884E+03    0.41971E-01    0.37253E-01   -0.18511E+01
    48    0.29520E+03    0.43334E-01    0.38288E-01   -0.19029E+01
    49    0.29150E+03    0.44697E-01    0.39311E-01   -0.19536E+01
    50    0.28774E+03    0.46061E-01    0.40320E-01   -0.20030E+01
    51    0.28393E+03    0.47423E-01    0.41314E-01   -0.20512E+01
    52    0.28006E+03    0.48781E-01    0.42292E-01   -0.20980E+01
    53    0.27615E+03    0.50135E-01    0.43252E-01   -0.21433E+01
    54    0.27219E+03    0.51482E-01    0.44196E-01   -0.21873E+01
    55    0.26819E+03    0.52822E-01    0.45120E-01   -0.22297E+01
    56    0.26416E+03    0.54152E-01    0.46025E-01   -0.22706E+01
    57    0.26009E+03    0.55473E-01    0.46910E-01   -0.23099E+01
    58    0.25598E+03    0.56783E-01    0.47774E-01   -0.23474E+01
    59    0.25185E+03    0.58083E-01    0.48615E-01   -0.23833E+01
    60    0.24769E+03    0.59372E-01    0.49433E-01   -0.24173E+01
    61    0.24351E+03    0.60649E-01    0.50227E-01   -0.24495E+01
    62    0.23930E+03    0.61914E-01    0.50996E-01   -0.24797E+01
    63    0.23508E+03    0.63164E-01    0.51740E-01   -0.25082E+01
    64    0.23085E+03    0.64399E-01    0.52458E-01   -0.25348E+01
    65    0.22661E+03    0.65617E-01    0.53150E-01   -0.25597E+01
    66    0.22237E+03    0.66818E-01    0.53816E-01   -0.25827E+01
    67    0.21813E+03    0.67999E-01    0.54455E-01   -0.26039E+01
    68    0.21388E+03    0.69159E-01    0.55067E-01   -0.26232E+01
    69    0.20964E+03    0.70296E-01    0.55650E-01   -0.26405E+01
    70    0.20541E+03    0.71410E-01    0.56204E-01   -0.26556E+01
    71    0.20118E+03    0.72498E-01    0.56729E-01   -0.26686E+01
    72    0.19695E+03    0.73562E-01    0.57225E-01   -0.26795E+01
    73    0.19274E+03    0.74603E-01    0.57691E-01   -0.26884E+01
    74    0.18855E+03    0.75622E-01    0.58128E-01   -0.26956E+01
    75    0.18437E+03    0.76619E-01    0.58536E-01   -0.27011E+01
    76    0.18022E+03    0.77597E-01    0.58915E-01   -0.27050E+01
    77    0.17610E+03    0.78551E-01    0.59264E-01   -0.27073E+01
    78    0.17199E+03    0.79478E-01    0.59584E-01   -0.27078E+01
    79    0.16792E+03    0.80376E-01    0.59874E-01   -0.27064E+01
    80    0.16387E+03    0.81242E-01    0.60135E-01   -0.27031E+01
    81    0.15985E+03    0.82071E-01    0.60366E-01   -0.26977E+01
    82    0.15587E+03    0.82866E-01    0.60566E-01   -0.26903E+01
    83    0.15192E+03    0.83627E-01    0.60737E-01   -0.26810E+01
    84    0.14800E+03    0.84356E-01    0.60879E-01   -0.26700E+01
    85    0.14413E+03    0.85053E-01    0.60990E-01   -0.26574E+01
    86    0.14030E+03    0.85719E-01    0.61072E-01   -0.26432E+01
    87    0.13651E+03    0.86354E-01    0.61125E-01   -0.26276E+01
    88    0.13277E+03    0.86957E-01    0.61148E-01   -0.26105E+01
    89    0.12908E+03    0.87526E-01    0.61143E-01   -0.25920E+01
    90    0.12543E+03    0.88060E-01    0.61108E-01   -0.25720E+01
    91    0.12184E+03    0.88559E-01    0.61045E-01   -0.25505E+01
    92    0.11829E+03    0.89021E-01    0.60954E-01   -0.25277E+01
    93    0.11479E+03    0.89448E-01    0.60835E-01   -0.25034E+01
    94    0.11135E+03    0.89839E-01    0.60689E-01   -0.24779E+01
    95    0.10796E+03    0.90194E-01    0.60517E-01   -0.24512E+01
    96    0.10462E+03    0.90514E-01    0.60320E-01   -0.24232E+01
    97    0.10134E+03    0.90799E-01    0.60097E-01   -0.23941E+01
    98    0.98107E+02    0.91049E-01    0.59849E-01   -0.23639E+01
    99    0.94932E+02    0.91264E-01    0.59578E-01   -0.23326E+01
   100    0.91812E+02    0.91445E-01    0.59283E-01   -0.23004E+01
   101    0.88749E+02    0.91590E-01    0.58965E-01   -0.22672E+01
   102    0.85743E+02    0.91701E-01    0.58625E-01   -0.22331E+01
   103    0.82795E+02    0.91778E-01    0.58263E-01   -0.21982E+01
   104    0.79905E+02    0.91821E-01    0.57880E-01   -0.21625E+01
   105    0.77074E+02    0.91830E-01    0.57477E-01   -0.21260E+01
   106    0.74303E+02    0.91804E-01    0.57054E-01   -0.20888E+01
   107    0.71593E+02    0.91745E-01    0.56611E-01   -0.20510E+01
   108    0.68944E+02    0.91653E-01    0.56149E-01   -0.20126E+01
   109    0.66356E+02    0.91527E-01    0.55670E-01   -0.19737E+01
   110    0.63831E+02    0.91367E-01    0.55172E-01   -0.19343E+01
   111    0.61369E+02    0.91175E-01    0.54658E-01   -0.18944E+01
   112    0.58970E+02    0.90950E-01    0.54127E-01   -0.18541E+01
   113    0.56632E+02    0.90692E-01    0.53581E-01   -0.18135E+01
   114    0.54357E+02    0.90403E-01    0.53020E-01   -0.17726E+01
   115    0.52142E+02    0.90082E-01    0.52445E-01   -0.17313E+01
   116    0.49988E+02    0.89730E-01    0.51857E-01   -0.16899E+01
   117    0.47894E+02    0.89348E-01    0.51256E-01   -0.16482E+01
   118    0.45860E+02    0.88935E-01    0.50644E-01   -0.16064E+01
   119    0.43885E+02    0.88493E-01    0.50020E-01   -0.15644E+01
   120    0.41968E+02    0.88021E-01    0.49386E-01   -0.15223E+01
   121    0.40109E+02    0.87521E-01    0.48743E-01   -0.14803E+01
   122    0.38307E+02    0.86992E-01    0.48090E-01   -0.14382E+01
   123    0.36563E+02    0.86436E-01    0.47430E-01   -0.13961E+01
   124    0.34875E+02    0.85851E-01    0.46762E-01   -0.13541E+01
   125    0.33242E+02    0.85240E-01    0.46088E-01   -0.13122E+01
   126    0.31666E+02    0.84602E-01    0.45408E-01   -0.12705E+01
   127    0.30144E+02    0.83938E-01    0.44723E-01   -0.12289E+01
   128    0.28676E+02    0.83248E-01    0.44034E-01   -0.11876E+01
   129    0.27262E+02    0.82533E-01    0.43341E-01   -0.11466E+01
   130    0.25902E+02    0.81792E-01    0.42646E-01   -0.11059E+01
   131    0.24594E+02    0.81028E-01    0.41948E-01   -0.10655E+01
   132    0.23338E+02    0.80240E-01    0.41249E-01   -0.10255E+01
