#    L    TT             EE             BB             TE          
     2    0.10291E+04    0.49572E-01    0.17005E-05    0.33052E+01
     3    0.97134E+03    0.82193E-01    0.34015E-05    0.41190E+01
     4    0.91367E+03    0.94116E-01    0.56704E-05    0.42412E+01
     5    0.86831E+03    0.85313E-01    0.85076E-05    0.39489E+01
     6    0.83509E+03    0.64621E-01    0.11914E-04    0.34578E+01
     7    0.81208E+03    0.42217E-01    0.15891E-04    0.29052E+01
     8    0.79677E+03    0.24820E-01    0.20439E-04    0.23761E+01
     9    0.78747E+03    0.14472E-01    0.25560E-04    0.19145E+01
    10    0.78287E+03    0.98587E-02    0.31255E-04    0.15454E+01
    11    0.78163E+03    0.83943E-02    0.37526E-04    0.12792E+01
    12    0.78395E+03    0.79291E-02    0.44373E-04    0.11176E+01
    13    0.78813E+03    0.73026E-02    0.51800E-04    0.10415E+01
    14    0.79329E+03    0.64551E-02    0.59807E-04    0.10269E+01
    15    0.79977E+03    0.56802E-02    0.68396E-04    0.10561E+01
    16    0.80797E+03    0.52585E-02    0.77570E-04    0.11139E+01
    17    0.81779E+03    0.52867E-02    0.87329E-04    0.11848E+01
    18    0.82829E+03    0.56002E-02    0.97677E-04    0.12561E+01
    19    0.84032E+03    0.60216E-02    0.10861E-03    0.13209E+01
    20    0.85223E+03    0.64593E-02    0.12014E-03    0.13723E+01
    21    0.86437E+03    0.69108E-02    0.13227E-03    0.14144E+01
    22    0.87703E+03    0.74808E-02    0.14498E-03    0.14520E+01
    23    0.89001E+03    0.82540E-02    0.15830E-03    0.14869E+01
    24    0.90338E+03    0.92659E-02    0.17221E-03    0.15206E+01
    25    0.91708E+03    0.10547E-01    0.18673E-03    0.15554E+01
    26    0.93093E+03    0.12077E-01    0.20185E-03    0.15948E+01
    27    0.94517E+03    0.13806E-01    0.21757E-03    0.16370E+01
    28    0.95963E+03    0.15711E-01    0.23389E-03    0.16804E+01
    29    0.97438E+03    0.17797E-01    0.25082E-03    0.17236E+01
    30    0.98932E+03    0.20080E-01    0.26836E-03    0.17639E+01
    31    0.10043E+04    0.22547E-01    0.28650E-03    0.17987E+01
    32    0.10197E+04    0.25175E-01    0.30525E-03    0.18252E+01
    33    0.10354E+04    0.27966E-01    0.32462E-03    0.18404E+01
    34    0.10513E+04    0.30940E-01    0.34459E-03    0.18428E+01
    35    0.10673E+04    0.34109E-01    0.36517E-03    0.18359E+01
    36    0.10833E+04    0.37488E-01    0.38636E-03    0.18214E+01
    37    0.10995E+04    0.41079E-01    0.40816E-03    0.17956E+01
    38    0.11160E+04    0.44890E-01    0.43057E-03    0.17565E+01
    39    0.11329E+04    0.48932E-01    0.45359E-03    0.17065E+01
    40    0.11499E+04    0.53226E-01    0.47722E-03    0.16491E+01
    41    0.11671E+04    0.57792E-01    0.50145E-03    0.15865E+01
    42    0.11843E+04    0.62632E-01    0.52630E-03    0.15171E+01
